Unique_ID,RSI_Site,Time,Vehicle_Type ,Vehicle_Occupancy,Origin_Postcode,Origin_Purpose,Destination_Postcode,Destination_Purpose,OriginX,OriginY,DestinationX,DestinationY,BlackcatOrig,BlackCatDest
18397,StNeots-RSI-3,17:00,CAR,1,PE192NJ,HOME,PE192HG,PERSONAL BUSINESS,518796,258995,518379,259039,33182,33184
18398,StNeots-RSI-3,10:30,CAR,1,PE192NJ,HOME,PE192SA,HOME,518796,258995,518379,259039,33182,33184
18399,StNeots-RSI-1,11:30,CAR,1,PE192NL,HOME,HP123EU,PERSONAL BUSINESS,518883,258943,484802,193648,33186,81069
18400,StNeots-RSI-3,9:30,CAR,1,PE192NL,HOME,PE192SA,SHOPS,518883,258943,484802,193648,33186,81069
18401,StNeots-RSI-3,12:30,CAR,1,PE192NN,HOME,MK443BA,SOCIAL/LEISURE PURPOSES,518838,258825,516857,257593,33186,32428
18402,StNeots-RSI-6,7:30,LGV,1,PE192NN,HOME,PE191BG,WORKPLACE (YOUR BASE),518838,258825,516857,257593,33186,32428
18403,StNeots-RSI-6,8:30,CAR,4,PE192NN,HOME,PE192DX,SCHOOL/COLLEGE/UNI,518838,258825,516857,257593,33186,32428
18404,StNeots-RSI-6,8:00,CAR,1,PE192NN,HOME,PE192QA,SHOPS,518838,258825,516857,257593,33186,32428
18405,StNeots-RSI-3,16:30,CAR,3,PE192NN,HOME,PE198EJ,SCHOOL/COLLEGE/UNI,518838,258825,516857,257593,33186,32428
18406,StNeots-RSI-8 E,15:00,CAR,1,PE192NN,PERSONAL BUSINESS,PE198JF,HOME,518838,258825,516857,257593,33186,32428
18407,StNeots-RSI-8 W,8:30,CAR,2,PE192NN,HOME,PE280HB,EMPLOYERS BUSINESS,518838,258825,516857,257593,33186,32428
18408,StNeots-RSI-6,12:30,CAR,1,PE192NN,HOME,PE284DY,EMPLOYERS BUSINESS,518838,258825,516857,257593,33186,32428
18409,StNeots-RSI-3,14:30,CAR,1,PE192NN,HOME,PE285AP,SOCIAL/LEISURE PURPOSES,518838,258825,516857,257593,33186,32428
18410,StNeots-RSI-6,9:30,CAR,1,PE192NN,HOME,SG192AF,WORKPLACE (YOUR BASE),518838,258825,516857,257593,33186,32428
18411,StNeots-RSI-6,8:00,CAR,1,PE192NP,HOME,MK429ER,EMPLOYERS BUSINESS,518916,258682,504933,248978,33186,32392
18412,StNeots-RSI-6,8:30,CAR,3,PE192NP,HOME,PE191LQ,WORKPLACE (YOUR BASE),518916,258682,504933,248978,33186,32392
18413,StNeots-RSI-8 W,10:00,CAR,2,PE192NQ,HOME,PE197GE,SOCIAL/LEISURE PURPOSES,518658,259219,517621,261066,33182,33201
18414,StNeots-RSI-6,8:00,CAR,1,PE192NR,HOME,CB233RE,WORKPLACE (YOUR BASE),519021,258747,524623,273202,33186,32861
18415,StNeots-RSI-3,12:00,CAR,5,PE192NR,HOME,PE191NX,SCHOOL/COLLEGE/UNI,519021,258747,524623,273202,33186,32861
18416,StNeots-RSI-6,9:30,CAR,1,PE192NR,HOME,PE198HZ,SHOPS,519021,258747,524623,273202,33186,32861
18417,StNeots-RSI-6,9:00,CAR,1,PE192NS,HOME,CB28RU,WORKPLACE (YOUR BASE),519044,258891,522564,272105,33186,32863
18418,StNeots-RSI-8 W,18:30,LGV,1,PE192NS,HOME,PE191UA,WORKPLACE (YOUR BASE),519044,258891,522564,272105,33186,32863
18419,StNeots-RSI-6,13:00,CAR,1,PE192NS,HOME,PE192JL,WORKPLACE (YOUR BASE),519044,258891,522564,272105,33186,32863
18420,StNeots-RSI-6,8:30,CAR,1,PE192NS,HOME,PE196RE,WORKPLACE (YOUR BASE),519044,258891,522564,272105,33186,32863
18421,StNeots-RSI-8 W,8:00,CAR,1,PE192NS,HOME,PE284HS,WORKPLACE (YOUR BASE),519044,258891,522564,272105,33186,32863
18422,StNeots-RSI-6,7:00,LGV,1,PE192NS,HOME,SY13AB,EMPLOYERS BUSINESS,519044,258891,522564,272105,33186,32863
18423,StNeots-RSI-8 W,7:00,CAR,1,PE192NU,HOME,PE195BW,WORKPLACE (YOUR BASE),518932,258941,512957,261716,33186,32937
18424,StNeots-RSI-6,9:00,LGV,2,PE192NX,HOME,PE191DU,PERSONAL BUSINESS,519012,259018,545163,258398,33186,32772
18425,StNeots-RSI-4,7:00,CAR,2,PE192NZ,HOME,PE192TL,SCHOOL/COLLEGE/UNI,518712,259137,518292,259666,33182,33181
18426,StNeots-RSI-8 E,7:30,CAR,2,PE192NZ,HOME,PE192TL,SCHOOL/COLLEGE/UNI,518712,259137,518292,259666,33182,33181
